model,tool,time,value,#c,#d
"timeseries1","pymc",to,"","",""
"timeseries5","pymc",to,"","",""
"timeseries4","pymc",to,"","",""
"timeseries81","pymc",to,"","",""
"timeseries61","pymc",to,"","",""
"timeseries96","pymc",to,"","",""
"timeseries41","pymc",to,"","",""
"timeseries11","pymc",to,"","",""
"timeseries21","pymc",to,"","",""
"timeseries3","pymc",to,"","",""
"timeseries2","pymc",to,"","",""
"timeseries61","soga","1.182","6.6209","2","65"
