d,k,op,dense_us,lr_us,speedup
30,1,matvec,0.6325084017589688,1.6880583949387074,0.3746958065286212
30,1,quad,1.3032499933615327,3.998741810210049,0.32591501407615875
30,1,inv_apply,12.773524993099272,7.296175020746887,1.7507152661192174
30,1,logdet,5.2073168102651834,6.345450016669929,0.8206379053629305
30,2,matvec,0.648166611790657,1.7151999985799193,0.37789564617962884
30,2,quad,1.2933500111103058,4.00511659681797,0.32292443424440154
30,2,inv_apply,12.644875003024936,8.24487500358373,1.533664852108576
30,2,logdet,5.095999990589917,6.950358208268881,0.73319961905376
30,5,matvec,0.6423417944461107,1.7814749851822853,0.36056739487722
30,5,quad,1.2930916156619787,4.1241749888285995,0.3135394640539389
30,5,inv_apply,12.698158388957381,8.806116809137166,1.4419702422958849
30,5,logdet,5.14450001064688,7.245083409361541,0.7100677411111032
30,10,matvec,0.6328583927825093,1.8826000159606338,0.33616189706637223
30,10,quad,1.2970668030902743,4.146316600963473,0.3128238694529204
30,10,inv_apply,12.608933402225375,11.688133399002254,1.078780757524698
30,10,logdet,5.116216582246125,9.144791588187218,0.559467816506064
100,1,matvec,1.3463499955832958,1.7913168063387275,0.7515979255144156
100,1,quad,1.9135834183543923,4.00884160771966,0.4773407396963462
100,1,inv_apply,84.57942500244826,7.498441589996219,11.279600432613481
100,1,logdet,33.27933321706951,6.464649992994964,5.147894047339097
100,2,matvec,1.3655334012582898,1.8606666009873152,0.7338947238230129
100,2,quad,1.9229499856010077,4.12199180573225,0.4665099001232502
100,2,inv_apply,83.85427501052618,8.561716601252556,9.794096080949295
100,2,logdet,33.16925000399351,7.486175000667572,4.430733986453119
100,5,matvec,1.3236915925517678,2.1720665972679853,0.6094157491380331
100,5,quad,1.9166165962815285,4.436299996450543,0.43203043027184856
100,5,inv_apply,84.8479166161269,10.12949999421835,8.376318343902053
100,5,logdet,33.531341585330665,8.382775005884469,4.000028816447134
100,10,matvec,1.3614500174298882,2.540016593411565,0.5360004422653349
100,10,quad,1.927199983038008,4.728683200664818,0.40755531746492507
100,10,inv_apply,83.77384159248322,13.430691603571177,6.237492756531468
100,10,logdet,33.104566601105034,9.878916596062481,3.35103209741641
300,1,matvec,8.714500116184354,2.228999976068735,3.9096008119093977
300,1,quad,13.942915946245193,4.1041679214686155,3.397257669041945
300,1,inv_apply,832.5435840524733,7.993249921128155,104.15583051542687
300,1,logdet,322.9809161275625,7.133584003895521,45.27610748695025
300,2,matvec,8.734415983781219,2.61516822502017,3.3399059763024814
300,2,quad,14.105834066867828,4.38850000500679,3.2142723141790226
300,2,inv_apply,838.101166067645,10.363916167989373,80.86722745367776
300,2,logdet,325.0143339391798,9.005666011944413,36.0899830737789
300,5,matvec,8.558000205084682,3.531917929649353,2.4230461679879167
300,5,quad,14.058749889954925,5.634333938360214,2.4951928735069804
300,5,inv_apply,838.3126659318805,14.68525012023747,57.08535156487511
300,5,logdet,322.6949160452932,11.178916087374091,28.866386823473665
300,10,matvec,8.684081956744194,5.0396660808473825,1.723146299265135
300,10,quad,13.969918014481664,7.0189181715250015,1.9903235332128708
300,10,inv_apply,834.4273341353983,18.814500188454986,44.350225930924395
300,10,logdet,322.3405000753701,12.15833192691207,26.51190163363446
1000,1,matvec,84.60833923891187,3.484180197119713,24.283571587042346
1000,1,quad,149.5400001294911,4.618319217115641,32.379745335768696
1000,1,inv_apply,12173.4166610986,10.04168065264821,1212.288767407496
1000,1,logdet,3977.6774984784424,9.869160130620003,403.0411347909253
1000,2,matvec,95.82831989973783,3.791681956499815,25.273301136311304
1000,2,quad,149.39833898097277,5.8766803704202175,25.42223322761552
1000,2,inv_apply,12193.739160429686,15.285818371921778,797.7158215374408
1000,2,logdet,4009.0399980545044,14.659999869763851,273.4679422694349
1000,5,matvec,82.78331952169538,9.423319716006517,8.784942251410515
1000,5,quad,151.49581944569945,10.681680869311094,14.182769668859246
1000,5,inv_apply,12320.66584052518,28.019160963594913,439.72286880871735
1000,5,logdet,3978.562499396503,17.64334039762616,225.49939012296116
1000,10,matvec,98.06415997445583,14.05665883794427,6.976349152740576
1000,10,quad,146.33249957114458,15.885001048445702,9.211991810693823
1000,10,inv_apply,12237.275838851929,34.28249852731824,356.95402507202255
1000,10,logdet,3989.1058416105802,20.745000801980495,192.29239274021845
