d,k,matvec,quad,inv,logdet
5,1,7.105427357601002e-15,2.842170943040401e-14,1.3322676295501878e-14,4.884981308350689e-15
5,2,3.552713678800501e-15,1.4210854715202004e-14,8.881784197001252e-15,3.3306690738754696e-15
5,5,2.6645352591003757e-15,1.4210854715202004e-14,6.994405055138486e-15,3.552713678800501e-15
30,1,1.0658141036401503e-14,1.1368683772161603e-13,6.483702463810914e-14,1.7763568394002505e-14
30,2,1.4210854715202004e-14,1.1368683772161603e-13,5.706546346573305e-14,1.4210854715202004e-14
30,5,7.105427357601002e-15,1.2789769243681803e-13,2.042810365310288e-14,1.0658141036401503e-14
30,10,3.552713678800501e-15,2.842170943040401e-14,8.493206138382448e-15,1.5987211554602254e-14
100,1,3.552713678800501e-14,3.410605131648481e-13,2.7563368254490683e-13,6.394884621840902e-14
100,2,3.552713678800501e-14,7.389644451905042e-13,8.43769498715119e-14,7.105427357601002e-14
100,5,2.1316282072803006e-14,2.8421709430404007e-13,6.128431095930864e-14,5.684341886080802e-14
100,10,1.0658141036401503e-14,1.7053025658242404e-13,2.9753977059954195e-14,4.263256414560601e-14
500,1,9.08162434143378e-14,3.637978807091713e-12,7.419967418265117e-13,6.252776074688882e-13
500,2,2.1316282072803006e-13,4.774847184307873e-12,4.717476409510368e-13,7.389644451905042e-13
500,5,7.105427357601002e-14,2.0463630789890885e-12,4.2261333321746974e-13,5.684341886080801e-13
500,10,4.263256414560601e-14,1.3642420526593924e-12,3.3775759966658825e-13,5.115907697472721e-13
