name,n_steps,d,k_max,psd_violations,max_rel_quad_during,final_rel_quad,final_abs_matvec
P1 (diagonal absorption),5000,200,4,0,0.02311869155340917,0.02311869155340917,0.2399402364144683
P3 (periodic re-projection),5000,200,4,0,0.027434616890033063,0.015968223588222287,0.21494569279914089
P1 k_max=4,5000,200,4,0,0.02311869155340917,0.02311869155340917,0.2399402364144683
P1 k_max=8,5000,200,8,0,0.02637277240850023,0.02637277240850023,0.2355672690125138
P1 k_max=16,5000,200,16,0,0.028687417736416046,0.028687417736416046,0.2812114730509167
P1 k_max=32,5000,200,32,0,0.01761104187521674,0.01761104187521674,0.37027276729155467
