family,param,d,n_comp,status,preproc_s,cfg_s,soga_s,total_s,projected_speedup_structured,projected_soga_s
B,25,28,1,ok,0.0003898334689438343,0.00567975000012666,0.02194320852868259,0.028012791997753084,1.0,0.02194320852868259
B,50,53,1,ok,0.0004987705615349114,0.00944795849500224,0.04479920846642926,0.054745937522966415,1.0,0.04479920846642926
B,100,103,1,ok,0.0004704369348473847,0.01571575051639229,0.0934280205401592,0.10961420799139887,2.1707175454284107,0.043040155425527894
B,200,203,1,ok,0.0005902494303882122,0.04201614606427029,0.20381824998185039,0.24642464547650889,6.365508956392334,0.03201916003545533
B,300,303,1,ok,0.0005286045488901436,0.05772997951135039,0.35944547899998724,0.4177040630602278,12.02358431156495,0.029895035430845082
B,500,503,1,ok,0.000625291489996016,0.06814585451502353,1.0108678750111721,1.0796390210161917,28.082500507092664,0.035996362743975094
C,50,51,1,ok,0.00041845854138955474,0.025992583541665226,0.026153145998250693,0.052564188081305474,1.0,0.026153145998250693
C,100,101,1,ok,0.0006682919338345528,0.06511870806571096,0.053835187980439514,0.11962218797998503,2.1042631019289297,0.02558386730779532
C,200,201,1,ok,0.0005358750349842012,0.11630889598745853,0.14219631248852238,0.2590410835109651,6.266352334886128,0.022692039146424148
C,400,401,1,ok,0.0005675835418514907,0.204137374938,0.41930458351271227,0.6240095419925638,19.21825741631938,0.021818033468354706
C,800,801,1,ok,0.0022089164704084396,0.6816201040055603,4.665087103960104,5.348916124436073,61.180214882138756,0.07625156454496292
