K,N,d,n_comp,status,soga_ms,projected_speedup,projected_soga_ms
3,50,53,1,ok,63.298124994616956,2.0,31.649062497308478
10,50,60,1,ok,100.57027102448046,2.0,50.28513551224023
10,100,110,1,ok,307.66031303210184,6.0,51.27671883868364
20,50,70,1,ok,166.70393699314445,2.0,83.35196849657223
20,100,120,1,ok,412.4315835069865,6.0,68.73859725116442
20,200,220,1,ok,696.4572085416876,12.0,58.038100711807296
50,50,100,1,ok,385.2591459872201,2.0,192.62957299361005
50,100,150,1,ok,673.9933339995332,6.0,112.33222233325553
50,200,250,1,ok,1415.7574379933067,12.0,117.97978649944223
100,50,150,1,ok,693.4761459706351,6.0,115.57935766177252
100,100,200,1,ok,1384.751770994626,6.0,230.79196183243766
