v,MSK,SDC,OTR
-100.0,0.9999945068359376,5.493164062500001e-06,0.0
-10.0,0.9999945068359376,5.493164062500001e-06,0.0
-1.0,0.9996823120117191,5.187988281249999e-06,0.0003125
-0.1,0.9999945068359376,5.493164062500001e-06,0.0
-0.01,0.999994504126155,5.495873845210015e-06,0.0
0.01,0.999994504126155,5.495873845210015e-06,0.0
0.1,0.9999945068359376,5.493164062500001e-06,0.0
1.0,0.9996823120117191,5.187988281249999e-06,0.0003125
10.0,0.9999945068359376,5.493164062500001e-06,0.0
100.0,0.9999945068359376,5.493164062500001e-06,0.0
