p,SOGA_MSK,SOGA_SDC,SOGA_OTR,mode
0.0,0.9999996948242186,3.0517578125e-07,0.0,2-component-GM
0.05,0.9999838255379411,5.494620587392638e-07,1.5625e-05,2-component-GM
0.1,0.9999679562516636,7.937483362285276e-07,3.125e-05,2-component-GM
0.15,0.9999520869653862,1.0380346137177911e-06,4.6875e-05,2-component-GM
0.2,0.9999362176791087,1.2823208912070552e-06,6.25e-05,2-component-GM
0.25,0.9999203483928312,1.5266071686963188e-06,7.8125e-05,2-component-GM
0.3,0.9999044791065536,1.7708934461855824e-06,9.375e-05,2-component-GM
0.35,0.9998886098202762,2.0151797236748464e-06,0.00010937499999999999,2-component-GM
0.4,0.9998727405339987,2.2594660011641105e-06,0.000125,2-component-GM
0.45,0.9998568712477212,2.503752278653374e-06,0.00014062500000000002,2-component-GM
0.5,0.9998410019614437,2.7480385561426377e-06,0.00015625,2-component-GM
0.55,0.9998251326751662,2.9923248336319017e-06,0.00017187500000000002,2-component-GM
0.6,0.9998092633888886,3.236611111121165e-06,0.0001875,2-component-GM
0.65,0.9997933941026111,3.480897388610429e-06,0.00020312500000000002,2-component-GM
0.7,0.9997775248163336,3.7251836660996926e-06,0.00021874999999999998,2-component-GM
0.75,0.9997616555300561,3.969469943588956e-06,0.000234375,2-component-GM
0.8,0.9997457862437787,4.213756221078221e-06,0.00025,2-component-GM
0.85,0.9997299169575011,4.458042498567483e-06,0.000265625,2-component-GM
0.9,0.9997140476712237,4.702328776056748e-06,0.00028125000000000003,2-component-GM
0.95,0.9996981783849461,4.9466150535460115e-06,0.000296875,2-component-GM
1.0,0.9996823090986687,5.190901331035275e-06,0.0003125,2-component-GM
