v,MSK,SDC,OTR
-100.0,0.9997853778918739,0.00020485648312571714,9.765625e-06
-10.0,0.9997853778915838,0.00020485648341617664,9.765625e-06
-1.0,0.9997853778625374,0.0002146221374621115,0.0
-0.1,0.9997853749580708,0.00021462504192921642,0.0
-0.01,0.9997850857694922,0.00021491423050776085,0.0
0.01,0.9997850857694922,0.00021491423050776085,0.0
0.1,0.9997853749580708,0.00021462504192921642,0.0
1.0,0.9997853778625374,0.0002146221374621115,0.0
10.0,0.9997853778915838,0.00020485648341617664,9.765625e-06
100.0,0.9997853778918739,0.00020485648312571714,9.765625e-06
