label,d,n_comp,classic_total_ms,classic_soga_ms,sparse_total_ms,sparse_soga_ms,speedup_total,speedup_soga,equivalence_ok,max_diff
BayesPointMachine (d=9),9,1,9.978124988265336,6.780847324989736,9.16826402923713,5.727403059912224,1.0883330755359575,1.1839305273363556,True,4.440892098500626e-15
TrueSkills (d=6),6,1,3.5315973606581488,2.0999586364875236,3.1799163358906903,1.6331246588379145,1.1105944269030439,1.2858532415901398,True,4.263256414560601e-14
B_K3N50 (d=53),53,1,64.61101401752482,55.09399999088297,49.538250003630914,40.365694323554635,1.3042651690923508,1.3648718525506425,True,1.199040866595169e-14
B_K3N100 (d=103),103,1,147.31006972336522,131.63508339008936,99.99405534472317,84.12479097023606,1.4731882731980726,1.564759708427243,True,7.771561172376096e-16
C_T60 (d=61),61,1,78.55115338073422,47.01240302529186,69.59381932392716,38.46404165960848,1.1287087581027102,1.2222429312377774,True,2.6727647100921956e-51
C_T100 (d=101),101,1,152.8037499714022,102.4993466756617,109.82290267323454,59.29179167530189,1.3913650636794062,1.7287274305518752,True,3.76158192263132e-37
C_T150 (d=151),151,1,265.80933295190334,180.23793030685434,176.4971943339333,91.72884739624958,1.5060258263878754,1.9648991066928367,True,2.7767903863779616e-28
