d,k,t_soga_ms,t_sparse_ms,t_sparse_k_ms,speedup_sparse,speedup_sparse_k,n_calls
5,1,0.06168499996419996,0.04266291973181069,0.04575083497911692,1.4458691611349297,1.3482814027843695,200
5,3,0.061731460154987865,0.04311812517698854,0.045345204998739064,1.4316823818660132,1.3613668778585182,200
10,1,0.06783645483665168,0.0425635400461033,0.04668916459195316,1.5937690982275832,1.4529378589126274,200
10,3,0.07218145998194814,0.04607062495779246,0.0484122900525108,1.5667566925362328,1.4909738808814024,200
30,1,0.08336875005625188,0.04452083492651582,0.047079374780878425,1.8725783151609077,1.7708125998757445,200
30,3,0.08354458026587963,0.043780835112556815,0.04602624976541847,1.9082454697607663,1.8151507170729848,200
100,1,0.22398083936423063,0.054287498351186514,0.05562333855777979,4.125827237705738,4.026742104513671,50
100,3,0.21844750037416816,0.055876660626381636,0.0564283411949873,3.9094587601577295,3.8712373206103305,50
300,1,1.7306416993960738,0.13582910178229213,0.12494160328060389,12.74131741053518,13.851604701352038,10
300,3,1.8085917108692229,0.13521660584956408,0.1262499950826168,13.3755147861157,14.325479455945306,10
1000,1,27.807333351423342,1.276889001019299,1.125513653581341,21.77740847421009,24.706349197045704,3
1000,3,28.12625002115965,1.3893749952937167,1.1721666669473052,20.243814748669564,23.995094566551145,3
