demo,m,n,t_mg_ms,err_mean,err_var,storage_scalar,storage_mg,sigma_C00
linear,4,4,0.011833966709673405,0.09490403504889722,0.6290792847111248,256,32,
bayes_reg,4,4,0.3223750973120332,0.03606290014733768,0.10644963657722872,,,
2mm_fi,4,4,0.18633401487022638,0.007600571386670474,0.005603790004021336,,,0.5983586526104383
linear,8,8,0.01750001683831215,0.5616077487737434,37.34060504345689,4096,128,
bayes_reg,8,8,0.5615830887109041,0.05978716836559845,0.34088738283462483,,,
2mm_fi,8,8,0.35099999513477087,0.009174706036809699,0.008281955672423125,,,0.538052769446441
linear,16,16,0.31462509650737047,1.475423738170992,150.16303071219045,65536,512,
bayes_reg,16,16,8.612624951638281,0.10626174209472854,1.028375303271357,,,
2mm_fi,16,16,6.721499958075583,0.015289940311530081,0.014064150080299376,,,0.6922504968144922
linear,32,32,0.022666994482278824,5.271985830274684,1918.9142957242293,1048576,2048,
bayes_reg,32,32,258.99691600352526,0.14808758962345245,1.2205126615744106,,,
2mm_fi,32,32,241.6373749729246,0.0188846899659727,0.022192173234793944,,,0.6693587463004178
linear,64,64,0.037624966353178024,16.402564254258397,13082.099329213728,16777216,8192,
bayes_reg,64,64,27789.240209036507,0.2245974481704149,2.8296768559302166,,,
2mm_fi,64,64,27987.57325008046,0.023472745185766364,0.03399468781763981,,,0.9056336276751672
