v,p_fault,SOGA_E,SOGA_Var,SOGA_components,SOGA_time_s,AN_E,AN_Var,AN_Pr_SDC,MC_E,MC_Var,MC_Pr_SDC,MC_Pr_SDC_lo,MC_Pr_SDC_hi,rel_E_SA,abs_E_SM,rel_Var_SA,verdict
0.5,0.001,0.999,0.000999,2,0.016704797744750977,0.999,0.000999000002,0.001,0.9991499987693996,0.0008492857018229989,0.00085,0.0006875369022651203,0.0010508123173112605,0.0,0.00014999876939958412,2.0020019899943846e-09,PASS
0.5,0.01,0.99,0.0099,2,0.0059549808502197266,0.99,0.009900000002000002,0.01,0.9899599982497891,0.00993929748391501,0.01004,0.009440627573526686,0.010677015587093655,0.0,4.000175021090513e-05,2.0202028878445369e-10,PASS
0.5,0.05,0.95,0.0475,2,0.0061588287353515625,0.95,0.047500000002,0.05,0.9507399996826892,0.04683392001521951,0.04926,0.04793590354118386,0.05061872638415293,0.0,0.0007399996826892297,4.2105208207136213e-11,PASS
1.0,0.001,1.998,0.003996,2,0.006421089172363281,1.998,0.003996000002,0.001,1.9982999987693995,0.0033971433873557985,0.00085,0.0006875369022651203,0.0010508123173112605,0.0,0.0002999987693994566,5.005004982500984e-10,PASS
1.0,0.01,1.98,0.0396,2,0.005964994430541992,1.98,0.039600000002,0.01,1.9799199982497893,0.03975719055177872,0.01004,0.009440627573526686,0.010677015587093655,0.0,8.000175021072309e-05,5.050498459146895e-11,PASS
1.0,0.05,1.9,0.19,2,0.005780935287475586,1.9,0.190000000002,0.05,1.901479999682689,0.18733568150684662,0.04926,0.04793590354118386,0.05061872638415293,0.0,0.0014799996826890816,1.0526375093104922e-11,PASS
2.0,0.001,3.996,0.015984,2,0.005824089050292969,3.996,0.015984000002000003,0.001,3.9965999987693994,0.01358857471558097,0.00085,0.0006875369022651203,0.0010508123173112605,0.0,0.0005999987693994235,1.2512517887386649e-10,PASS
2.0,0.01,3.96,0.1584,2,0.005735874176025391,3.96,0.15840000000200002,0.01,3.9598399982497887,0.15902876344537373,0.01004,0.009440627573526686,0.010677015587093655,0.0,0.00016000175021124718,1.2626333760642268e-11,PASS
2.0,0.05,3.8,0.76,2,0.005821943283081055,3.8,0.760000000002,0.05,3.802959999682689,0.7493427289253451,0.04926,0.04793590354118386,0.05061872638415293,0.0,0.0029599996826892294,2.6315207323085447e-12,PASS
