v,p_fault,n_samples,seed,eps,E_d00,Var_d00,Pr_SDC,Pr_SDC_lo,Pr_SDC_hi,n_sdc_events
0.5,0.001,100000,42,0.001,0.9991499987693996,0.0008492857018229989,0.00085,0.0006875369022651203,0.0010508123173112605,85
0.5,0.01,100000,42,0.001,0.9899599982497891,0.00993929748391501,0.01004,0.009440627573526686,0.010677015587093655,1004
0.5,0.05,100000,42,0.001,0.9507399996826892,0.04683392001521951,0.04926,0.04793590354118386,0.05061872638415293,4926
1.0,0.001,100000,42,0.001,1.9982999987693995,0.0033971433873557985,0.00085,0.0006875369022651203,0.0010508123173112605,85
1.0,0.01,100000,42,0.001,1.9799199982497893,0.03975719055177872,0.01004,0.009440627573526686,0.010677015587093655,1004
1.0,0.05,100000,42,0.001,1.901479999682689,0.18733568150684662,0.04926,0.04793590354118386,0.05061872638415293,4926
2.0,0.001,100000,42,0.001,3.9965999987693994,0.01358857471558097,0.00085,0.0006875369022651203,0.0010508123173112605,85
2.0,0.01,100000,42,0.001,3.9598399982497887,0.15902876344537373,0.01004,0.009440627573526686,0.010677015587093655,1004
2.0,0.05,100000,42,0.001,3.802959999682689,0.7493427289253451,0.04926,0.04793590354118386,0.05061872638415293,4926
